PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Name_Len,Name_Title,Age_Null_Flag,mean
1,0,3,male,22.0,1,0,A/5 21171,7.25,,S,23,Mr.,0,28.7248908297
2,1,1,female,38.0,1,0,PC 17599,71.2833,C85,C,51,Mrs.,0,40.8823529412
3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,,S,22,Miss.,0,16.1231884058
4,1,1,female,35.0,1,0,113803,53.1,C123,S,44,Mrs.,0,40.8823529412
5,0,3,male,35.0,0,0,373450,8.05,,S,24,Mr.,0,28.7248908297
6,0,3,male,28.7248908297,0,0,330877,8.4583,,Q,16,Mr.,1,28.7248908297
7,0,1,male,54.0,0,0,17463,51.8625,E46,S,23,Mr.,0,41.5804597701
8,0,3,male,2.0,3,1,349909,21.075,,S,30,Master.,0,5.35083333333
9,1,3,female,27.0,0,2,347742,11.1333,,S,49,Mrs.,0,33.5151515152
10,1,2,female,14.0,1,0,237736,30.0708,,C,35,Mrs.,0,33.6829268293
11,1,3,female,4.0,1,1,PP 9549,16.7,G6,S,31,Miss.,0,16.1231884058
12,1,1,female,58.0,0,0,113783,26.55,C103,S,24,Miss.,0,30.0
13,0,3,male,20.0,0,0,A/5. 2151,8.05,,S,30,Mr.,0,28.7248908297
14,0,3,male,39.0,1,5,347082,31.275,,S,27,Mr.,0,28.7248908297
15,0,3,female,14.0,0,0,350406,7.8542,,S,36,Miss.,0,16.1231884058
16,1,2,female,55.0,0,0,248706,16.0,,S,32,Mrs.,0,33.6829268293
17,0,3,male,2.0,4,1,382652,29.125,,Q,20,Master.,0,5.35083333333
18,1,2,male,32.7682926829,0,0,244373,13.0,,S,28,Mr.,1,32.7682926829
19,0,3,female,31.0,1,0,345763,18.0,,S,55,Mrs.,0,33.5151515152
20,1,3,female,33.5151515152,0,0,2649,7.225,,C,23,Mrs.,1,33.5151515152
21,0,2,male,35.0,0,0,239865,26.0,,S,20,Mr.,0,32.7682926829
22,1,2,male,34.0,0,0,248698,13.0,D56,S,21,Mr.,0,32.7682926829
23,1,3,female,15.0,0,0,330923,8.0292,,Q,27,Miss.,0,16.1231884058
24,1,1,male,28.0,0,0,113788,35.5,A6,S,28,Mr.,0,41.5804597701
25,0,3,female,8.0,3,1,349909,21.075,,S,29,Miss.,0,16.1231884058
26,1,3,female,38.0,1,5,347077,31.3875,,S,57,Mrs.,0,33.5151515152
27,0,3,male,28.7248908297,0,0,2631,7.225,,C,23,Mr.,1,28.7248908297
28,0,1,male,19.0,3,2,19950,263.0,C23 C25 C27,S,30,Mr.,0,41.5804597701
29,1,3,female,16.1231884058,0,0,330959,7.8792,,Q,29,Miss.,1,16.1231884058
30,0,3,male,28.7248908297,0,0,349216,7.8958,,S,19,Mr.,1,28.7248908297
31,0,1,male,40.0,0,0,PC 17601,27.7208,,C,24,Don.,0,40.0
32,1,1,female,40.8823529412,1,0,PC 17569,146.5208,B78,C,46,Mrs.,1,40.8823529412
33,1,3,female,16.1231884058,0,0,335677,7.75,,Q,24,Miss.,1,16.1231884058
34,0,2,male,66.0,0,0,C.A. 24579,10.5,,S,21,Mr.,0,32.7682926829
35,0,1,male,28.0,1,0,PC 17604,82.1708,,C,23,Mr.,0,41.5804597701
36,0,1,male,42.0,1,0,113789,52.0,,S,30,Mr.,0,41.5804597701
37,1,3,male,28.7248908297,0,0,2677,7.2292,,C,16,Mr.,1,28.7248908297
38,0,3,male,21.0,0,0,A./5. 2152,8.05,,S,24,Mr.,0,28.7248908297
39,0,3,female,18.0,2,0,345764,18.0,,S,34,Miss.,0,16.1231884058
40,1,3,female,14.0,1,0,2651,11.2417,,C,27,Miss.,0,16.1231884058
41,0,3,female,40.0,1,0,7546,9.475,,S,46,Mrs.,0,33.5151515152
42,0,2,female,27.0,1,0,11668,21.0,,S,56,Mrs.,0,33.6829268293
43,0,3,male,28.7248908297,0,0,349253,7.8958,,C,19,Mr.,1,28.7248908297
44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,,C,40,Miss.,0,22.390625
45,1,3,female,19.0,0,0,330958,7.8792,,Q,29,Miss.,0,16.1231884058
46,0,3,male,28.7248908297,0,0,S.C./A.4. 23567,8.05,,S,24,Mr.,1,28.7248908297
47,0,3,male,28.7248908297,1,0,370371,15.5,,Q,17,Mr.,1,28.7248908297
48,1,3,female,16.1231884058,0,0,14311,7.75,,Q,25,Miss.,1,16.1231884058
49,0,3,male,28.7248908297,2,0,2662,21.6792,,C,19,Mr.,1,28.7248908297
50,0,3,female,18.0,1,0,349237,17.8,,S,45,Mrs.,0,33.5151515152
51,0,3,male,7.0,4,1,3101295,39.6875,,S,26,Master.,0,5.35083333333
52,0,3,male,21.0,0,0,A/4. 39886,7.8,,S,28,Mr.,0,28.7248908297
53,1,1,female,49.0,1,0,PC 17572,76.7292,D33,C,40,Mrs.,0,40.8823529412
54,1,2,female,29.0,1,0,2926,26.0,,S,50,Mrs.,0,33.6829268293
55,0,1,male,65.0,0,1,113509,61.9792,B30,C,30,Mr.,0,41.5804597701
56,1,1,male,41.5804597701,0,0,19947,35.5,C52,S,17,Mr.,1,41.5804597701
57,1,2,female,21.0,0,0,C.A. 31026,10.5,,S,17,Miss.,0,22.390625
58,0,3,male,28.5,0,0,2697,7.2292,,C,19,Mr.,0,28.7248908297
59,1,2,female,5.0,1,2,C.A. 34651,27.75,,S,28,Miss.,0,22.390625
60,0,3,male,11.0,5,2,CA 2144,46.9,,S,34,Master.,0,5.35083333333
61,0,3,male,22.0,0,0,2669,7.2292,,C,21,Mr.,0,28.7248908297
62,1,1,female,38.0,0,0,113572,80.0,B28,,19,Miss.,0,30.0
63,0,1,male,45.0,1,0,36973,83.475,C83,S,27,Mr.,0,41.5804597701
64,0,3,male,4.0,3,2,347088,27.9,,S,21,Master.,0,5.35083333333
65,0,1,male,41.5804597701,0,0,PC 17605,27.7208,,C,21,Mr.,1,41.5804597701
66,1,3,male,5.35083333333,1,1,2661,15.2458,,C,24,Master.,1,5.35083333333
67,1,2,female,29.0,0,0,C.A. 29395,10.5,F33,S,28,Mrs.,0,33.6829268293
68,0,3,male,19.0,0,0,S.P. 3464,8.1583,,S,24,Mr.,0,28.7248908297
69,1,3,female,17.0,4,2,3101281,7.925,,S,31,Miss.,0,16.1231884058
70,0,3,male,26.0,2,0,315151,8.6625,,S,17,Mr.,0,28.7248908297
71,0,2,male,32.0,0,0,C.A. 33111,10.5,,S,26,Mr.,0,32.7682926829
72,0,3,female,16.0,5,2,CA 2144,46.9,,S,26,Miss.,0,16.1231884058
73,0,2,male,21.0,0,0,S.O.C. 14879,73.5,,S,20,Mr.,0,32.7682926829
74,0,3,male,26.0,1,0,2680,14.4542,,C,27,Mr.,0,28.7248908297
75,1,3,male,32.0,0,0,1601,56.4958,,S,13,Mr.,0,28.7248908297
76,0,3,male,25.0,0,0,348123,7.65,F G73,S,23,Mr.,0,28.7248908297
77,0,3,male,28.7248908297,0,0,349208,7.8958,,S,17,Mr.,1,28.7248908297
78,0,3,male,28.7248908297,0,0,374746,8.05,,S,24,Mr.,1,28.7248908297
79,1,2,male,0.83,0,2,248738,29.0,,S,29,Master.,0,2.25888888889
80,1,3,female,30.0,0,0,364516,12.475,,S,24,Miss.,0,16.1231884058
81,0,3,male,22.0,0,0,345767,9.0,,S,20,Mr.,0,28.7248908297
82,1,3,male,29.0,0,0,345779,9.5,,S,27,Mr.,0,28.7248908297
83,1,3,female,16.1231884058,0,0,330932,7.7875,,Q,30,Miss.,1,16.1231884058
84,0,1,male,28.0,0,0,113059,47.1,,S,23,Mr.,0,41.5804597701
85,1,2,female,17.0,0,0,SO/C 14885,10.5,,S,19,Miss.,0,22.390625
86,1,3,female,33.0,3,0,3101278,15.85,,S,55,Mrs.,0,33.5151515152
87,0,3,male,16.0,1,3,W./C. 6608,34.375,,S,22,Mr.,0,28.7248908297
88,0,3,male,28.7248908297,0,0,SOTON/OQ 392086,8.05,,S,29,Mr.,1,28.7248908297
89,1,1,female,23.0,3,2,19950,263.0,C23 C25 C27,S,26,Miss.,0,30.0
90,0,3,male,24.0,0,0,343275,8.05,,S,22,Mr.,0,28.7248908297
91,0,3,male,29.0,0,0,343276,8.05,,S,20,Mr.,0,28.7248908297
92,0,3,male,20.0,0,0,347466,7.8542,,S,26,Mr.,0,28.7248908297
93,0,1,male,46.0,1,0,W.E.P. 5734,61.175,E31,S,27,Mr.,0,41.5804597701
94,0,3,male,26.0,1,2,C.A. 2315,20.575,,S,23,Mr.,0,28.7248908297
95,0,3,male,59.0,0,0,364500,7.25,,S,17,Mr.,0,28.7248908297
96,0,3,male,28.7248908297,0,0,374910,8.05,,S,27,Mr.,1,28.7248908297
97,0,1,male,71.0,0,0,PC 17754,34.6542,A5,C,25,Mr.,0,41.5804597701
98,1,1,male,23.0,0,1,PC 17759,63.3583,D10 D12,C,31,Mr.,0,41.5804597701
99,1,2,female,34.0,0,1,231919,23.0,,S,36,Mrs.,0,33.6829268293
100,0,2,male,34.0,1,0,244367,26.0,,S,17,Mr.,0,32.7682926829
101,0,3,female,28.0,0,0,349245,7.8958,,S,23,Miss.,0,16.1231884058
